Export MPAN / MSID,Import MPAN / MSID,Customer Name,Customer Site,Address Line 1,Address Line 2,Town/ City,County,Postcode,Country,Location (X-coordinate):_Eastings (where data is held),Location (y-coordinate):_Northings (where data is held),Grid Supply Point,Bulk Supply Point,Primary,Point of Connection (POC)_Voltage (kV),Licence Area,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status,Already connected Registered Capacity (MW),Already Connected - Maximum Export Capacity (MW),Already Connected - Maximum Export Capacity (MVA),Already Connected - Maximum Import Capacity (MW),Already Connected - Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MVA),Accepted to Connect - Change to Maximum Import Capacity (MW),Accepted to Connect - Change to Maximum Import Capacity (MVA),Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,Longitude,Latitude,SpatialCoordinates_Customer,SiteFunctionalLocation,Primary Resource Type_Group
1014569292506,,A I A MANAGEMENT LTD,BENTWATERS BUS PK,RENDLESHAM,,Woodbridge,Suffolk,IP12 2TW,England,635372,254094,BRAMFORD GRID 132kV,WICKHAM MARKET GRID 132/33kV,BENTWATERS PRIMARY 33/11kV,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,6.0,,,,,,,,,,,,,No,Connected,6.0,6.0,6.316,0.3,0.316,2016-10-01,,,,,,,,,,,,,,2021-06-14,1.43789569120143,52.134977779977,"52.134977779977,1.43789569120143",EPN-S0000000H1040,Solar PV
1050000636890,,Dalkia PLC,LISTER HOSP,COREYS MILL LANE,,STEVENAGE,Herts,SG1 4AB,England,552207,227408,WYMONDLEY MAIN 132kV,WYMONDLEY GRID 132/33kV,VERITY WAY PRIMARY 33kV,33kV,Eastern Power Networks (EPN),Fossil Gas,Steam turbine (thermal power plant),,,,4.5,,,,,,,,,,,,,No,Connected,4.5,4.5,4.737,,,2016-06-13,,,,,,,,,,,,,,2021-06-14,0.212058550957542,51.9243906208515,"51.9243906208515,0.212058550957542",EPN-S0000000G8064,Fossil fuel
1050000664025,,GREENVALE MARCH FLOODS,GREENVALE MARCH FLOODS,FERRY RD,,Wimlington,Cambs,PE15 0UW,England,535456,293299,WALPOLE GIS 132KV,MARCH GRID 132/33kV,CHATTERIS PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Wind onshore,Onshore wind turbines,,,,1.0,,,,,,,,,,,,,No,Connected,1.0,1.0,1.053,0.4,0.421,2014-05-07,,,,,,,,,,,,,,2021-01-15,-0.00501385979775543,52.5207430206513,"52.5207430206513,-0.00501385979775543",EPN-S0000000H6053,Wind
1050000496725,,Matrix Networks Limited,"SCOTTOW RD, AD PLANT,",AD PLANT,,Norwich,Norfolk,NR10 5DP,England,626600,324300,NORWICH MAIN 132kV,THORPE GRID 132/33kV,SCOTTOW PRIMARY 33kV,11kV,Eastern Power Networks (EPN),biomass,Other,,,,2.8,,,,,,,,,,,,,No,Connected,2.8,2.8,2.947,,,2014-01-01,,,,,,,,,,,,,,2020-11-13,1.35758273009995,52.7687246019047,"52.7687246019047,1.35758273009995",EPN-S0000000H5059,Biogas
1030072846525,,Biffa Waste Services,(6U0598) Eye Landfill site,Eyebury Road,Eye,PETERBOROUGH,Cambs,PE6 7TH,England,523168,301835,WALPOLE GIS 132KV,PETERBOROUGH EAST GRID 132/11kV,,11kV,Eastern Power Networks (EPN),Waste,Steam turbine (thermal power plant),,,,1.0,,,,,,,,,,,,,No,Connected,1.0,1.0,1.053,0.1,0.105,2011-02-01,,,,,,,,,,,,,,2021-11-12,-0.182849653574565,52.6003547006552,"52.6003547006552,-0.182849653574565",EPN-S0000000F6057,Biogas
Data not available,,Power Control Solutions,OLIVER RD,,,WEST THURROCK,Essex,RM20 3ED,England,558028,177365,WEST THURROCK GRID,WEST THURROCK GRID,HEDLEY AV HSS,11kV,Eastern Power Networks (EPN),Fossil oil,Engine (combustion / reciprocating),,,,1.6,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,1.6,1.6,1.684,,,2012-08-16,,,,,,,,2021-12-14,0.273982875086522,51.4731838900738,"51.4731838900738,0.273982875086522",EPN-S0000000H7010,Fossil fuel
1050000540028,,DNO Consulting Limited,SPRIGGS FARM,LITTLE SAMPFORD,,SAFFRON WALDEN,Essex,CB10 2SA,England,562524,232501,PELHAM GRID 132kV,THAXTED GRID 132kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,20.0,,,,,,,,,,,,,No,Connected,20.0,20.0,21.053,,,2013-09-24,,,,,,,,,,,,,,2020-11-13,0.364365271325054,51.9672282554545,"51.9672282554545,0.364365271325054",EPN-S0000000D3051,Solar PV
1050000645468,,Powersystems UK Ltd,BYGRAVE LODGE FM,,,BALDOCK,HERTS,SG7 6QX,England,527511,235543,WYMONDLEY MAIN 132kV,LETCHWORTH GRID 132/33kV,LETCHWORTH FACTORY 33/11kV,11kV,Eastern Power Networks (EPN),biomass,Steam-gas turbine (CCGT),,,,2.6,,,,,,,,,,,,,No,Connected,2.6,2.6,2.737,,,2014-09-25,,,,,,,,,,,,,,2020-11-13,-0.143841829867551,52.003690776984,"52.003690776984,-0.143841829867551",EPN-S0000000H8054,Biogas
1050000823467,,Redacted,KENNINGHALL FARM,NORTH LOPHAM RD,,Norwich,Norfolk,NR16 2DU,England,597890,285370,BRAMFORD GRID 132kV,DISS GRID 132/33KV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,12.0,,,,,,,,,,,,,No,Connected,12.0,12.0,12.632,0.1,0.105,2015-03-30,,,,,,,,,,,,,,2021-06-14,0.909378509654375,52.4304821729,"52.4304821729,0.909378509654375",EPN-S0000000D1014,Solar PV
1050001042229,,Dragon Infrastructure Solutions Ltd,TROWSE SOLAR FARM,WHITE HORSE LANE,,NORWICH,NORFOLK,NR14 8SL,England,624108,306074,NORWICH MAIN 132kV,TROWSE GRID 132kV,ALPINGTON PRIMARY 33/11kV,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,5.0,,,,,,,,,,,,,No,Connected,5.0,5.0,5.263,,,2016-03-07,,,,,,,,,,,,,,2020-11-13,1.30831237312382,52.6061925443077,"52.6061925443077,1.30831237312382",EPN-S0000000H5026,Solar PV
1030083931142,,Co-Operative Group Plc,BIGGLESWADE WIND FARM,,,Wymondley,Beds,SG18 9QP,England,519890,241120,WYMONDLEY MAIN 132kV,LETCHWORTH GRID 132/33kV,,33kV,Eastern Power Networks (EPN),Wind onshore,Onshore wind turbines,,,,20.5,,,,,,,,,,,,,No,Connected,20.5,20.5,21.579,,,2013-07-30,,,,,,,,,,,,,,2020-11-13,-0.252853986453421,52.0555047530037,"52.0555047530037,-0.252853986453421",EPN-S0000000D8014,Wind
1050000669539,,EcoGen Limited,FDG A-02 BOARDINGHOUSE,Knights End farm,,March,Cambs,PE15 0YN,England,538350,293680,WALPOLE GIS 132KV,MARCH GRID 132/33kV,MARCH PRIMARY 33/11kV,33kV,Eastern Power Networks (EPN),Wind onshore,Onshore wind turbines,,,,10.25,,,,,,,,,,,,,Yes,Connected,10.25,10.25,10.789,,,2015-01-01,,,,,,,,,,,,,,2020-11-13,0.0377687381469841,52.5234396935858,"52.5234396935858,0.0377687381469841",EPN-S0000000H6029,Wind
1050000579266,,Solar Inc Ltd,MEADOW FARM,METHWOLD RD,,Walpole,Norfolk,IP26 4RB,England,572870,296980,WALPOLE GIS 132KV,SWAFFHAM GRID 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,5.0,,,,,,,,,,,,,No,Connected,5.0,5.0,5.263,,,2014-03-21,,,,,,,,,,,,,,2020-11-13,0.547797509804243,52.5432297861595,"52.5432297861595,0.547797509804243",EPN-S0000000D6042,Solar PV
1050000948031,,E.ON Climate & Renewable UK Developmets Ltd,CHIPLOW WIND FARM,Bagthorpe,,Kings Lynn,Norfolk,PE31 8SR,England,580531,332149,WALPOLE GIS 132KV,HEMPTON GRID 132kV,,33kV,Eastern Power Networks (EPN),Wind onshore,Onshore wind turbines,,,,12.5,,,,,,,,,,,,,No,Connected,12.5,12.5,13.158,,,2016-01-06,,,,,,,,,,,,,,2020-11-13,0.67992511359812,52.856558549845,"52.856558549845,0.67992511359812",EPN-S0000000D6045,Wind
1050000769084,,Viridor Waste Management Ltd,FOURTH DROVE EASTERN IND EST,,,PETERBOROUGH,Cambs,PE1 5UR,England,521657,299004,WALPOLE GIS 132KV,PETERBOROUGH CENTRAL 132kV,PETERBOROUGH CENTRAL 33/11kV,11kV,Eastern Power Networks (EPN),waste,Steam-gas turbine (CCGT),,,,8.0,,,,,,,,,,,,,No,Connected,8.0,8.0,8.421,,,2015-07-23,,,,,,,,,,,,,,2020-11-13,-0.206186781730378,52.5752571194583,"52.5752571194583,-0.206186781730378",EPN-S0000000N6060,Biogas
1050001000238,,Belectric Solar Ltd,BEGDALE FARM,,,WISBECH,Cambs,PE14 0BE,England,545911,306684,WALPOLE GIS 132KV,WALSOKEN GRID 132/33kV,WISBECH RAILWAY PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,2.64,,,,,,,,,,,,,No,Connected,2.64,2.64,2.779,,,2015-11-23,,,,,,,,,,,,,,2020-11-13,0.154852965771371,52.6382903742578,"52.6382903742578,0.154852965771371",EPN-S0000000H6049,Solar PV
1050000630105,,Kingspan Insulated Panels,SAINSBURYS PLOT 1,SAINSBURYS PLOT 1,MARSH LEYS BUSINESS PARK,WOBURN ROAD,BEDFORD,MK43 9AA,England,502690,245590,SUNDON 132kV,MARSTON RD GRID 132/33kV,WEST BEDFORD PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,1.394,,,,,,,,,,,,,No,Connected,1.394,1.394,1.467,,,2014-03-28,,,,,,,,,,,,,,2020-11-13,-0.502266371309368,52.0991297105959,"52.0991297105959,-0.502266371309368",EPN-S0000000H4092,Solar PV
1050001061602,,Solarfields Ltd,ARDLEIGH SOLAR FARM,OFF PARK ROAD,,ARDLEIGH,ESSEX,CO7 7SS,England,606073,227819,BRAMFORD GRID 132kV,LAWFORD GRID 132kV,PARSONS HEATH PRIMARY 33kV,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,20.0,,,,,,,,,,,,,No,Connected,20.0,20.0,21.053,,,2016-03-24,,,,,,,,,,,,,,2020-11-13,0.994644576615978,51.9107688169762,"51.9107688169762,0.994644576615978",EPN-S0000000G3020,Solar PV
1050001205354,,Energy and System Technical Ltd,KENTISHES (LYONS HALL),,,Braintree,Essex,CM77 8BX,England,578430,226470,BRAINTREE 132kV,BRAINTREE LOCAL 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,10.8,,,,,,,,,,,,,No,Connected,10.8,10.8,11.368,,,2018-05-01,,,,,,,,,,,,,,2020-11-13,0.592529551825607,51.9081870559664,"51.9081870559664,0.592529551825607",EPN-S0000000D3015,Solar PV
1050000775005,,Lightsource Renewable Energy Ltd,WIX ROAD,BARN FARM,,BRADFIELD,ESSEX,CO11 2NX,England,615350,230530,BRAMFORD GRID 132kV,LAWFORD GRID 132kV,WIX PRIMARY 33kV,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,4.2,,,,,,,,,,,,,No,Connected,4.2,4.2,4.421,,,2015-08-13,,,,,,,,,,,,,,2020-11-13,1.1310024470274,51.9316003698976,"51.9316003698976,1.1310024470274",EPN-S0000000G3055,Solar PV
1050000574685,,Abbey Properties Cambridge Ltd,UPWOOD AIRFIELD,RAMSEY,,CAMBS,CAMBS,PE28 2LQ,England,524800,275400,EATON SOCON GRID 132kV,HUNTINGDON GRID 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,20.0,,,,,,,,,,,,,No,Connected,20.0,20.0,21.053,0.1,0.105,2014-03-17,,,,,,,,,,,,,,2020-11-13,-0.168657892725251,52.36245537529,"52.36245537529,-0.168657892725251",EPN-S0000000D4068,Solar PV
1050001003257,,Hive Energy Ltd,GREEN FARM,WIX,,Manningtree,Essex,CO11 2SA,England,616928,228538,BRAMFORD GRID 132kV,LAWFORD GRID 132kV,WIX PRIMARY 33kV,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,8.0,,,,,,,,,,,,,No,Connected,8.0,8.0,8.421,,,2015-12-21,,,,,,,,,,,,,,2020-11-13,1.15266399161387,51.9131055734531,"51.9131055734531,1.15266399161387",EPN-S0000000G3055,Solar PV
1050000555910,,RES,WOOLLEY HILL WIND FARM,Grove Lane,Ellington,Cambridge,Cambs,PE28 0AA,England,516060,273090,EATON SOCON GRID 132kV,LITTLE BARFORD 132/33kV,,33kV,Eastern Power Networks (EPN),Wind onshore,Onshore wind turbines,,,,11.5,,,,,,,,,,,,,No,Connected,11.5,11.5,12.105,,,2015-01-13,,,,,,,,,,,,,,2020-11-13,-0.297744228379356,52.3436158589611,"52.3436158589611,-0.297744228379356",EPN-S0000000D4055,Wind
1050000738290,,Good Energy Generation Ltd,WEST RAYNHAM AIRFIELD,Shereford Road,WEST RAYNHAM,Hempton,Norfolk,NR21 7LJ,England,589565,323525,WALPOLE GIS 132KV,HEMPTON GRID 132kV,,132kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,49.9,,,,,,,,,,,,,No,Connected,49.9,49.9,52.526,,,2015-03-16,,,,,,,,,,,,,,2020-11-13,0.808932402834799,52.7760249440769,"52.7760249440769,0.808932402834799",EPN-S0000000C6045,Solar PV
1050000578699,,Inazin Power Ltd,LACKFORD ESTATE,LACKFORD,,BURY ST EDMUNDS,SUFFOLK,IP28 6HS,England,578430,269092,BRAMFORD GRID 132kV,BURY GRID 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,25.0,,,,,,,,,,,,,No,Connected,25.0,25.0,26.316,0.05,0.053,2014-03-23,,,,,,,,,,,,,,2020-11-13,0.614831047782606,52.2909859710888,"52.2909859710888,0.614831047782606",EPN-S0000000D1012,Solar PV
1030081316960,,Npower Renewables,EARLS HALL FARM,,,ST OSYTH,Essex,CO16 8BP,England,614340,216314,BRAMFORD GRID 132kV,CLACTON GRID 132/33kV,,33kV,Eastern Power Networks (EPN),Wind onshore,Onshore wind turbines,,,,15.0,,,,,,,,,,,,,No,Connected,15.0,15.0,15.789,0.15,0.158,2012-11-01,,,,,,,,,,,,,,2020-11-13,1.10751924841018,51.8043639536725,"51.8043639536725,1.10751924841018",EPN-S0000000D3027,Wind
1050001261429,,Push Energy (Grid) Ltd,MILL FARM,GREAT MUNDEN,,Wymondley,Herts,SG11 1JR,England,535080,225180,WYMONDLEY MAIN 132kV,STEVENAGE GRID 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,8.0,,,,,,,,,,,,,No,Connected,8.0,8.0,8.421,,,2016-12-20,,,,,,,,,,,,,,2020-11-13,-0.0377156676764346,51.9087860327754,"51.9087860327754,-0.0377156676764346",EPN-S0000000D8169,Solar PV
1050000698283,,Lark Energy Ltd,HILL FARM,OFF EDWORTH ROAD,,LANGFORD,BEDS,SG18 9PJ,England,519276,240182,WYMONDLEY MAIN 132kV,LETCHWORTH GRID 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,10.5,,,,,,,,,,,,,No,Connected,10.5,10.5,11.053,,,2015-03-27,,,,,,,,,,,,,,2020-11-13,-0.262131618059387,52.0472078049207,"52.0472078049207,-0.262131618059387",EPN-S0000000D8014,Solar PV
1050001084229,,Iceni Energy Ltd,BIOMASS PLANT OFF CHALK LANE,,,Norwich,Norfolk,NR16 2JZ,England,600520,291080,BRAMFORD GRID 132kV,DISS GRID 132kV,,132kV,Eastern Power Networks (EPN),Biomass,Steam-gas turbine (CCGT),,,,45.0,,,,,,,,,,,,,No,Connected,45.0,45.0,47.368,,,2017-03-29,,,,,,,,,,,,,,2020-11-13,0.951436582878464,52.4807895743132,"52.4807895743132,0.951436582878464",EPN-S0000000C1014,Biogas
1050000714182,,Inazin,CALDECOTE MANOR FARM,,,St Neots,Cambs,PE19 6XQ,England,522618,258464,EATON SOCON GRID 132kV,LITTLE BARFORD 132/33kV,CALDECOTE MANOR GENERATION,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,22.0,,,,,,,,,,,,,No,Connected,22.0,22.0,23.158,,,2016-02-18,,,,,,,,,,,,,,2020-11-13,-0.206840235405141,52.2107633363644,"52.2107633363644,-0.206840235405141",EPN-S0000000G4038,Solar PV
1050000903174,,Eco Energy World,PLAYTERS OLD FARM,ELLOUGH,,Norwich,Norfolk,NR34 7TN,England,644038,287471,BRAMFORD GRID 132kV,ILKETSHALL GRID 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,10.0,,,,,,,,,,,,,No,Connected,10.0,10.0,10.526,0.1,0.105,2015-10-21,,,,,,,,,,,,,,2020-11-13,1.58840339640378,52.4307052050321,"52.4307052050321,1.58840339640378",EPN-S0000000D5089,Solar PV
1050000617248,,KiWi Power Ltd,BEDFORD HOSPITAL,KEMPSTON ROAD,,Bedford,Beds,MK42 9DJ,England,504711,248940,SUNDON 132kV,AUSTIN CANONS GRID 132/33kV,PREBEND ST PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Fossil oil,Engine (combustion / reciprocating),,,,1.6,,,,,,,,,,,,,No,Connected,1.6,1.6,1.684,1.9,2.0,2017-01-01,,,,,,,,,,,,,,2021-12-14,-0.471744299167495,52.128858872892,"52.128858872892,-0.471744299167495",EPN-S0000000H4077,Fossil fuel
Data not available,,Gyron Internet Ltd,150 MAYLANDS AV HERTS,,,HEMEL HEMPSTEAD,Herts,HP2 7DF,England,507755,208277,ELSTREE AIS 132KV,PICCOTTS END GRID 132/33kV,INDUSTRIAL PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Fossil oil,Engine (combustion / reciprocating),,,,6.12,,,,,,,,,,,,,No,Connected,6.12,6.12,6.442,,,2015-06-30,,,,,,,,,,,,,,2021-12-14,-0.440024826173474,51.7628191682155,"51.7628191682155,-0.440024826173474",EPN-S0000000H8140,Fossil fuel
Data not available,,Kingspan Insulated Panels Ltd,SAINSBURYS CTR FLEMING RD,,,WALTHAM ABBEY,Essex,EN9 3BZ,England,538060,199680,BRIMSDOWN 132kV,BRIMSDOWN NORTH GRID 132/33kV,WALTHAM ABBEY PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,2.6,,,,,,,,,,,,,No,Connected,2.6,2.6,2.737,,,2017-01-30,,,,,,,,,,,,,,2021-01-15,-0.00456368601388759,51.6789251999776,"51.6789251999776,-0.00456368601388759",EPN-S0000000H7158,Solar PV
1023477820860,,Anglian Water Service Limited,WHITLINGHAM STW NORFOLK,,,Norwich,Norfolk,NR14 8TZ,England,627850,307540,NORWICH MAIN 132kV,EARLHAM GRID 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,1.2,,,,,,,,,,,,,No,Connected,1.2,1.2,1.263,,,2012-11-01,,,,,,,,,,,,,,2020-11-13,1.36448278544956,52.6177937779154,"52.6177937779154,1.36448278544956",EPN-S0000000D5076,Solar PV
1050000769172,,Waterloo Solar Park Ltd,"WATERLOO SOLAR PARK, WATERLOO FARM,",EVERTON,Sandy,Eaton,Beds,SG19 2JW,England,517750,251560,EATON SOCON GRID 132kV,LITTLE BARFORD 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,23.0,,,,,,,,,,,,,No,Connected,23.0,23.0,24.211,,,2015-03-19,,,,,,,,,,,,,,2020-11-13,-0.280445118907455,52.1497821292128,"52.1497821292128,-0.280445118907455",EPN-S0000000D4055,Solar PV
Data not available,,Padero Solar Limited,FALKLANDS SOLAR FRM,,,Aylesbury,Bucks,HP22 5AX,England,485242,216626,SUNDON 132kV,AYLESBURY EAST GRID 132/33kV,,33kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,18.0,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,18.0,18.0,18.947,,,2014-03-18,,,,,,,,2020-11-13,-0.764096948602037,51.841742762442,"51.841742762442,-0.764096948602037",EPN-S0000000D8002,Solar PV
1050000849109,,The Solar Building Company Ltd,CLAPHAM SOLAR FARM,TINSLEY ESTATE CLAPHAM,,Bedford,Beds,MK41 6HA,England,503780,253980,SUNDON 132kV,AUSTIN CANONS GRID 132/33kV,MANTON LN PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,7.05,,,,,,,,,,,,,No,Connected,7.05,7.05,7.421,0.14,0.147,2015-06-26,,,,,,,,,,,,,,2020-11-13,-0.483801644862993,52.1743303368306,"52.1743303368306,-0.483801644862993",EPN-S0000000H4051,Solar PV
1050001197864,,Rolton Group,HODDESDON ADVANCED THERMAL,Rattys lane,,HODDESDON,Herts,EN11 0RF,England,538798,208872,RYE HOUSE 132kV,RYE HOUSE GRID 33kV,,33kV,Eastern Power Networks (EPN),Fossil gas,Steam-gas turbine (CCGT),,,,9.0,,,,,,,,,,,,,No,Connected,9.0,9.0,9.474,,,2016-10-01,,,,,,,,,,,,,,2020-11-13,0.00976269540928373,51.7613391000051,"51.7613391000051,0.00976269540928373",EPN-S0000000G7015,Fossil fuel
1050000961992,,Solar Inc Ltd,CHURCH FARM SLAPTON,,,Sundon,Beds,LU7 9BX,England,493788,220007,SUNDON 132kV,HOUGHTON REGIS GRID 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,5.2,,,,,,,,,,,,,No,Connected,5.2,5.2,5.474,0.1,0.105,2015-11-29,,,,,,,,,,,,,,2020-11-13,-0.63916935591398,51.870764275826,"51.870764275826,-0.63916935591398",EPN-S0000000D8096,Solar PV
1050000990984,,RENEWABLE ENERGY CONNECTIONS LTD,"HURTON RD, LONG MEADOW, IVINGHOE",HURTON RD,LONG MEADOW,IVINGHOE,Beds,LU7 9EA,England,493970,217430,SUNDON 132kV,HOUGHTON REGIS GRID 132/33kV,CHEDDINGTON PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,3.0,,,,,,,,,,,,,No,Connected,3.0,3.0,3.158,,,2015-12-15,,,,,,,,,,,,,,2020-11-13,-0.637226647979859,51.8475706696663,"51.8475706696663,-0.637226647979859",EPN-S0000000H8028,Solar PV
1050001118490,,GEW2 Ltd,ASHINGDON / CANEWDON PV ULVERSTON ROCHFORD,,,Rayleigh,Essex,SS4 3JX,England,586349,194568,RAYLEIGH MAIN 132KV,SOUTHEND GRID 132/33kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,10.0,,,,,,,,,,,,,No,Connected,10.0,10.0,10.526,,,2015-11-25,,,,,,,,,,,,,,2020-11-13,0.690421975969538,51.6190822805728,"51.6190822805728,0.690421975969538",EPN-S0000000D7057,Solar PV
1023485611195,,Cynergin Consultants,VILLA NURSERY,REEVES LANE,,Roydon,Essex,CM19 5LE,England,541558,208058,RYE HOUSE 132kV,HARLOW WEST GRID 132/33kV,HARLOW WEST GRID 33/11kV,11kV,Eastern Power Networks (EPN),Fossil Gas,Steam-gas turbine (CCGT),,,,3.0,,,,,,,,,,,,,No,Connected,3.0,3.0,3.158,,,2000-03-02,,,,,,,,,,,,,,2020-11-13,0.0493961922756904,51.7533348189668,"51.7533348189668,0.0493961922756904",EPN-S0000000H7148,Fossil fuel
1050000514320,,Power Systems UK Ltd,CROWS HALL FARM/LANE,Ellingham Road,,Attleborogh,Norfolk,NR17 1AD,England,603561,295627,NORWICH MAIN 132kV,EARLHAM GRID 132/33kV,ATTLEBOROUGH PRIMARY 33kV,11kV,Eastern Power Networks (EPN),waste,Steam-gas turbine (CCGT),,,,1.56,,,,,,,,,,,,,No,Connected,1.56,1.56,1.642,,,2013-10-18,,,,,,,,,,,,,,2020-11-13,0.9989310312232,52.5204859921061,"52.5204859921061,0.9989310312232",EPN-S0000000H5063,Biogas
1050000486123,,G2 Energy,MARSTON VALE,STATION ROAD,,MARSTON MORETAINE,Beds,MK43 0PR,England,500496,241723,SUNDON 132kV,MARSTON RD GRID 132/33kV,MARSTON RD PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Wind onshore,Onshore wind turbines,,,,1.5,,,,,,,,,,,,,No,Connected,1.5,1.5,1.579,,,2014-03-26,,,,,,,,,,,,,,2020-11-13,-0.535422662276275,52.0647769613557,"52.0647769613557,-0.535422662276275",EPN-S0000000H4052,Wind
1030073236370,,CLp Envirogas Ltd,WATER HALL QUARRY LOWER,Lower Hatfield Road,,Hertford,Herts,SG13 8LF,England,529800,209970,RYE HOUSE 132kV,WELWYN GRID 132KV,WEST HERTFORD PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Fossil gas,Steam-gas turbine (CCGT),,,,1.0,,,,,,,,,,,,,No,Connected,1.0,1.0,1.053,,,2013-07-11,,,,,,,,,,,,,,2020-11-13,-0.120128950821253,51.773361917225,"51.773361917225,-0.120128950821253",EPN-S0000000H7055,Fossil fuel
1050000617257,,Alan Bartlett & Sons Ltd,CASITER STW PUMP LN,,,Norwich,Norfolk,NR30 5TE,England,652261,311241,NORWICH MAIN 132kV,GT YARMOUTH GRID 132/33kV,CAISTER PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,1.0,,,,,,,,,,,,,No,Connected,1.0,1.0,1.053,,,2014-01-29,,,,,,,,,,,,,,2020-11-13,1.72712888191561,52.6402158818338,"52.6402158818338,1.72712888191561",EPN-S0000000H5029,Solar PV
1050000553374,,Lark Energy,THE HANGER WESTON COLVILLE,,,CAMBRIDGE,Cambs,CB21 5NR,England,563455,250960,BURWELL MAIN GRID 132kV,FULBOURN GRID 132/33kV,LINTON PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,1.0,,,,,,,,,,,,,No,Connected,1.0,1.0,1.053,,,2013-10-04,,,,,,,,,,,,,,2020-11-13,0.386726672408374,52.1327697653218,"52.1327697653218,0.386726672408374",EPN-S0000000H4069,Solar PV
1050000810937,,Lightsource Renewable Energy Ltd,LIGHT SOURCE GRID (MUNCEY PV SOLAR PARK),,,Whaddon,Herts,SG8 9NW,England,538060,242900,WYMONDLEY MAIN 132kV,MELBOURN SOLAR 132kV,,132kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,45.0,,,,,,,,,,,,,No,Connected,45.0,45.0,47.368,,,2015-03-16,,,,,,,,,,,,,,2020-11-13,0.0127036341283127,52.0672735441618,"52.0672735441618,0.0127036341283127",EPN-S0000000C4093,Solar PV
